INPUT_TABLE
Variable ID
IndiaTranTechShwt_new

region,supplysector,tranSubsector,tranTechnology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
TN,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
TN,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
TN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
TN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
TN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
TN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
TN,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
TN,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
TN,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0,linear
TN,trn_freight_road,Truck,NG,share-weight,2045,2050,0,0,fixed
TN,trn_freight_road,Truck,NG,share-weight,2050,2100,0,0,linear
TN,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2015,2020,0.001,0.001,fixed
TN,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2020,2025,0.005,0.005,fixed
TN,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2025,2030,0.04,0.04,fixed
TN,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2030,2050,0.04,1,linear
TN,trn_pass_road_LDV,LDV_3W,Electric,share-weight,2050,2100,1,1,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,Electric,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,Electric,share-weight,2015,2020,0.1,0.1,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,Electric,share-weight,2020,2050,0.1,1,linear
TN,trn_pass_road_LDV_4W,LDV_4W,Electric,share-weight,2050,2100,1,1,fixed
TN,trn_pass_road_LDV_2W,LDV_2W,Electric,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road_LDV_2W,LDV_2W,Electric,share-weight,2015,2020,0.1,0.1,fixed
TN,trn_pass_road_LDV_2W,LDV_2W,Electric,share-weight,2020,2050,0.1,1,linear
TN,trn_pass_road_LDV_2W,LDV_2W,Electric,share-weight,2050,2100,1,1,fixed
TN,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road,Bus,Electric,share-weight,2015,2020,0.001,0.001,fixed
TN,trn_pass_road,Bus,Electric,share-weight,2020,2025,0.005,0.005,fixed
TN,trn_pass_road,Bus,Electric,share-weight,2025,2030,0.04,0.04,fixed
TN,trn_pass_road,Bus,Electric,share-weight,2030,2050,0.04,1,linear
TN,trn_pass_road,Bus,Electric,share-weight,2050,2100,1,1,fixed
TN,trn_pass,HSR,Electric,share-weight,2010,2025,0,0,fixed
TN,trn_pass,HSR,Electric,share-weight,2015,2020,0,1,linear
TN,trn_freight_road,Truck,Electric,share-weight,2010,2020,0,0,fixed
TN,trn_freight_road,Truck,Electric,share-weight,2020,2025,0.001,0.001,fixed
TN,trn_freight_road,Truck,Electric,share-weight,2025,2030,0.04,0.04,fixed
TN,trn_freight_road,Truck,Electric,share-weight,2030,2050,0.04,0,linear
TN,trn_freight_road,Truck,Electric,share-weight,2045,2050,0,0,fixed
TN,trn_freight_road,Truck,Electric,share-weight,2050,2100,0,0,linear
TN,trn_pass_road_LDV_4W,LDV_4W,FCEV,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,FCEV,share-weight,2015,2020,0.1,0.1,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,FCEV,share-weight,2020,2050,0.1,1,linear
TN,trn_pass_road_LDV_4W,LDV_4W,FCEV,share-weight,2050,2100,1,1,fixed
TN,trn_freight_road,Truck,FCEV,share-weight,2010,2020,0,0,fixed
TN,trn_freight_road,Truck,FCEV,share-weight,2020,2025,0.01,0.04,fixed
TN,trn_freight_road,Truck,FCEV,share-weight,2025,2030,0.04,0.04,fixed
TN,trn_freight_road,Truck,FCEV,share-weight,2030,2050,0.04,0.3,linear
TN,trn_freight_road,Truck,FCEV,share-weight,2045,2050,0.3,0.3,fixed
TN,trn_freight_road,Truck,FCEV,share-weight,2050,2100,0.3,1,linear
TN,trn_freight_road,Truck,Liquids,share-weight,2010,2020,1,1,fixed
TN,trn_freight_road,Truck,Liquids,share-weight,2020,2025,1,1,fixed
TN,trn_freight_road,Truck,Liquids,share-weight,2025,2030,1,1,fixed
TN,trn_freight_road,Truck,Liquids,share-weight,2030,2050,1,0,linear
TN,trn_freight_road,Truck,Liquids,share-weight,2045,2050,0,0,fixed
TN,trn_freight_road,Truck,Liquids,share-weight,2050,2100,0,0,fixed
