INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.077543426
AP,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.084529075
AR,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.07769116
AS,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.080123086
BR,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.08232841
CG,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.081595083
CH,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.080123086
DD,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.077543426
DL,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.079384416
DN,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.077543426
GA,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.08232841
GJ,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.080123086
HP,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.077912418
HR,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.079384416
JH,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.080123086
JK,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.08232841
KA,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.085272402
KL,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.08232841
LA,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.08232841
LD,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.077543426
MH,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.085272402
ML,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.080123086
MN,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.078651088
MP,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.083057079
MZ,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.078060152
NL,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.079384416
OD,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.060022906
PB,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.08232841
PC,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.07717909
RJ,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.083057079
SK,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.077912418
TN,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.080255348
TR,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.07645042
TS,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.084529075
UK,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.081757752
UP,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.081826062
WB,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,tax,-0.079758751
AN,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.049676366
AP,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.054147505
AR,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.049762975
AS,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.05132191
BR,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.052735932
CG,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.052260442
CH,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.05132191
DD,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.049676366
DL,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.050848868
DN,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.049676366
GA,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.052735932
GJ,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.05132191
HP,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,tax,-0.049910335
