INPUT_TABLE,,,
Variable ID,,,
IncomeElasticity,,,
,,,
region,energy.final.demand,year,income.elasticity
AN,trn_aviation_intl,2015,1.15
AP,trn_aviation_intl,2015,1.15
AR,trn_aviation_intl,2015,1.15
AS,trn_aviation_intl,2015,1.15
BR,trn_aviation_intl,2015,1.15
CG,trn_aviation_intl,2015,1.15
CH,trn_aviation_intl,2015,1.15
DD,trn_aviation_intl,2015,1.15
DL,trn_aviation_intl,2015,1.15
DN,trn_aviation_intl,2015,1.15
GA,trn_aviation_intl,2015,1.15
GJ,trn_aviation_intl,2015,1.15
HP,trn_aviation_intl,2015,1.15
HR,trn_aviation_intl,2015,1.15
JH,trn_aviation_intl,2015,1.15
JK,trn_aviation_intl,2015,1.15
KA,trn_aviation_intl,2015,1.15
KL,trn_aviation_intl,2015,1.15
LA,trn_aviation_intl,2015,1.15
LD,trn_aviation_intl,2015,1.15
MH,trn_aviation_intl,2015,1.15
ML,trn_aviation_intl,2015,1.15
MN,trn_aviation_intl,2015,1.15
MP,trn_aviation_intl,2015,1.15
MZ,trn_aviation_intl,2015,1.15
NL,trn_aviation_intl,2015,1.15
OD,trn_aviation_intl,2015,1.15
PB,trn_aviation_intl,2015,1.15
PC,trn_aviation_intl,2015,1.15
RJ,trn_aviation_intl,2015,1.15
SK,trn_aviation_intl,2015,1.15
TN,trn_aviation_intl,2015,1.15
TR,trn_aviation_intl,2015,1.15
TS,trn_aviation_intl,2015,1.15
UK,trn_aviation_intl,2015,1.15
UP,trn_aviation_intl,2015,1.15
WB,trn_aviation_intl,2015,1.15
AN,trn_aviation_intl,2020,1
AP,trn_aviation_intl,2020,1
AR,trn_aviation_intl,2020,1
AS,trn_aviation_intl,2020,1
BR,trn_aviation_intl,2020,1
CG,trn_aviation_intl,2020,1
CH,trn_aviation_intl,2020,1
DD,trn_aviation_intl,2020,1
DL,trn_aviation_intl,2020,1
DN,trn_aviation_intl,2020,1
GA,trn_aviation_intl,2020,1
GJ,trn_aviation_intl,2020,1
HP,trn_aviation_intl,2020,1
HR,trn_aviation_intl,2020,1
JH,trn_aviation_intl,2020,1
JK,trn_aviation_intl,2020,1
KA,trn_aviation_intl,2020,1
KL,trn_aviation_intl,2020,1
LA,trn_aviation_intl,2020,1
LD,trn_aviation_intl,2020,1
MH,trn_aviation_intl,2020,1
ML,trn_aviation_intl,2020,1
MN,trn_aviation_intl,2020,1
MP,trn_aviation_intl,2020,1
MZ,trn_aviation_intl,2020,1
NL,trn_aviation_intl,2020,1
OD,trn_aviation_intl,2020,1
PB,trn_aviation_intl,2020,1
PC,trn_aviation_intl,2020,1
RJ,trn_aviation_intl,2020,1
SK,trn_aviation_intl,2020,1
TN,trn_aviation_intl,2020,1
TR,trn_aviation_intl,2020,1
TS,trn_aviation_intl,2020,1
UK,trn_aviation_intl,2020,1
UP,trn_aviation_intl,2020,1
WB,trn_aviation_intl,2020,1
AN,trn_aviation_intl,2025,1
AP,trn_aviation_intl,2025,1
AR,trn_aviation_intl,2025,1
AS,trn_aviation_intl,2025,1
BR,trn_aviation_intl,2025,1
CG,trn_aviation_intl,2025,1
CH,trn_aviation_intl,2025,1
DD,trn_aviation_intl,2025,1
DL,trn_aviation_intl,2025,1
DN,trn_aviation_intl,2025,1
GA,trn_aviation_intl,2025,1
GJ,trn_aviation_intl,2025,1
HP,trn_aviation_intl,2025,1
HR,trn_aviation_intl,2025,1
JH,trn_aviation_intl,2025,1
JK,trn_aviation_intl,2025,1
KA,trn_aviation_intl,2025,1
KL,trn_aviation_intl,2025,1
LA,trn_aviation_intl,2025,1
LD,trn_aviation_intl,2025,1
MH,trn_aviation_intl,2025,1
ML,trn_aviation_intl,2025,1
MN,trn_aviation_intl,2025,1
MP,trn_aviation_intl,2025,1
MZ,trn_aviation_intl,2025,1
NL,trn_aviation_intl,2025,1
OD,trn_aviation_intl,2025,1
PB,trn_aviation_intl,2025,1
PC,trn_aviation_intl,2025,1
RJ,trn_aviation_intl,2025,1
SK,trn_aviation_intl,2025,1
TN,trn_aviation_intl,2025,1
TR,trn_aviation_intl,2025,1
TS,trn_aviation_intl,2025,1
UK,trn_aviation_intl,2025,1
UP,trn_aviation_intl,2025,1
WB,trn_aviation_intl,2025,1
AN,trn_aviation_intl,2030,1
AP,trn_aviation_intl,2030,1
AR,trn_aviation_intl,2030,1
