INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
IndiaTranTechInterp_new,,,,,,,,,
,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
AN,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
AN,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
AN,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
AP,trn_pass_road,Bus,NG,share-weight,2010,2015,0.1,0.1,fixed
AP,trn_pass_road,Bus,NG,share-weight,2015,2100,0.1,1,linear
AR,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
AR,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
AR,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
AS,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
AS,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
AS,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
BR,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
BR,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
BR,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
CG,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
CG,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
CG,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
CH,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
CH,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
CH,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
DD,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
DD,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
DD,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
DL,trn_pass_road,Bus,NG,share-weight,2010,2100,1,1,fixed
DN,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
DN,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
DN,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
GA,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
GA,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
GA,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
GJ,trn_pass_road,Bus,NG,share-weight,2010,2015,0.6,0.6,fixed
GJ,trn_pass_road,Bus,NG,share-weight,2015,2050,0.6,1,linear
GJ,trn_pass_road,Bus,NG,share-weight,2030,2100,1,1,fixed
HP,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
HP,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
HP,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
HR,trn_pass_road,Bus,NG,share-weight,2010,2015,0.02,0.02,fixed
HR,trn_pass_road,Bus,NG,share-weight,2015,2100,0.02,1,linear
JH,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
JH,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
JH,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
JK,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
JK,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
JK,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
KA,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
KA,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
KA,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
KL,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
KL,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
KL,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
LA,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
LA,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
LA,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
LD,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
LD,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
LD,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
MH,trn_pass_road,Bus,NG,share-weight,2010,2100,1,1,fixed
ML,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
ML,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
ML,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
MN,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
MN,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
MN,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
MP,trn_pass_road,Bus,NG,share-weight,2010,2015,0.01,0.01,fixed
MP,trn_pass_road,Bus,NG,share-weight,2015,2100,0.01,1,linear
MZ,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
MZ,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
MZ,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
NL,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
NL,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
NL,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
OD,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
OD,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
OD,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
PB,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
PB,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
PB,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
PC,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
PC,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
PC,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
RJ,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
RJ,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
RJ,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
SK,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
SK,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
SK,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
TN,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road,Bus,NG,share-weight,2015,2025,0,0,fixed
TN,trn_pass_road,Bus,NG,share-weight,2025,2100,0.01,1,linear
TR,trn_pass_road,Bus,NG,share-weight,2010,2015,0.01,0.01,fixed
TR,trn_pass_road,Bus,NG,share-weight,2015,2100,0.01,1,linear
TS,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
TS,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
TS,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
UK,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
UK,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
UK,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
UP,trn_pass_road,Bus,NG,share-weight,2010,2100,1,1,fixed
WB,trn_pass_road,Bus,NG,share-weight,2010,2015,0,0,fixed
WB,trn_pass_road,Bus,NG,share-weight,2015,2020,0,0,fixed
WB,trn_pass_road,Bus,NG,share-weight,2020,2100,0.01,1,linear
AN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
AN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
AN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
AN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
AN,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
AP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0.003,0.003,fixed
AP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2030,0.003,0.01,linear
AP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2030,2050,0.01,0.3,linear
AP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.3,0.3,fixed
AP,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.3,1,linear
AR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
AR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
AR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
AR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
AR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
AS,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
AS,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2020,0,0,fixed
AS,trn_pass_road_LDV,LDV_3W,NG,share-weight,2020,2050,0.001,0.05,linear
AS,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
AS,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
BR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
BR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2020,0,0,fixed
BR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2020,2050,0.001,0.05,linear
BR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
BR,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
CG,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
CG,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2025,0,0,fixed
CG,trn_pass_road_LDV,LDV_3W,NG,share-weight,2025,2050,0.001,0.05,linear
CG,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
CG,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
CH,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
CH,trn_pass_road_LDV,LDV_3W,NG,share-weight,2015,2020,0,0,fixed
CH,trn_pass_road_LDV,LDV_3W,NG,share-weight,2020,2050,0.001,0.05,linear
CH,trn_pass_road_LDV,LDV_3W,NG,share-weight,2045,2050,0.05,0.05,fixed
CH,trn_pass_road_LDV,LDV_3W,NG,share-weight,2050,2100,0.05,1,linear
DD,trn_pass_road_LDV,LDV_3W,NG,share-weight,2010,2015,0,0,fixed
