INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-4.834287281
AP,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-1.733628545
AR,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-10.05753427
AS,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-7.10841323
BR,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-0.722216853
CG,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-4.967777418
CH,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-3.403322067
DD,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-6.345053906
DL,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,2.318760535
DN,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-6.345049569
GA,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-8.438752814
GJ,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-7.710578264
HP,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-4.732441966
HR,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-2.766364416
JH,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,0.139459276
JK,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-7.705835339
KA,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-2.571071626
KL,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-2.170612198
LA,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-3.403322738
LD,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-4.834293236
MH,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-1.957957592
ML,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-7.059873017
MN,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-11.73233777
MP,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-6.86104078
MZ,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-10.27598732
NL,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-13.98969545
OD,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-0.97708154
PB,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-3.166861406
PC,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-6.624586126
RJ,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-3.130454138
SK,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-2.858205687
TN,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-2.304095333
TR,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-8.43127605
TS,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-1.102565356
UK,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-5.37566004
UP,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,-2.608590797
WB,elect_td_trn,elect_td_trn,elect_td_trn,2010,tax,0.721999474
AN,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-0.869713794
AP,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,2.083234841
AR,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-7.957571141
AS,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-5.148890383
BR,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-0.349706344
CG,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-2.392509635
CH,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-6.226353794
DD,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-3.704193794
DL,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-0.776780039
DN,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-3.704193794
GA,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-5.698167524
GJ,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-5.004669435
HP,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-7.492181031
HR,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-5.619747191
JH,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,0.470945895
JK,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-10.32398073
KA,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,1.285731539
KL,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,1.667193989
LA,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-6.226353794
LD,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-0.869713794
MH,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,0.474038465
ML,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-5.10265251
MN,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-9.552627745
MP,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-4.195576665
MZ,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-8.165621568
NL,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-11.70247882
OD,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-0.592425175
PB,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-6.00115964
PC,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-2.57476082
RJ,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-5.966431235
SK,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-2.383972737
TN,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,1.539989839
TR,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-6.40875241
TS,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,2.684327185
UK,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-8.104782842
UP,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,-5.469424105
WB,elect_td_trn,elect_td_trn,elect_td_trn,2015,tax,1.025760365
AN,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-0.322646658
AP,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,2.551644284
AR,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-3.844499872
AS,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-0.478324365
BR,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-0.918044902
CG,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-1.442189379
CH,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-1.228916132
DD,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-2.721601166
DL,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,3.904914284
DN,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-1.812651788
GA,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-3.984123642
GJ,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-3.482688212
HP,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-2.489653666
HR,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-1.190365107
JH,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,0.707190944
JK,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-6.34905208
KA,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,2.005874262
KL,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,2.258028309
LA,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-2.430243685
LD,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,0.188455285
MH,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,1.710102569
ML,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-0.639023562
MN,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-5.191088061
MP,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-3.241170926
MZ,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-3.823213623
NL,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-6.759083526
OD,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-1.032721529
PB,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-0.992519811
PC,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-1.806821455
RJ,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-1.319591201
SK,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-2.279877567
TN,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,2.257602451
TR,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-1.943980314
TS,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,3.180309698
UK,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-3.247877606
UP,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,-0.792294002
WB,elect_td_trn,elect_td_trn,elect_td_trn,2020,tax,1.02145868
AN,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-0.851859523
AP,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,1.882993726
AR,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-4.039408604
AS,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-0.990278348
BR,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-1.40541346
CG,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,0.062060878
CH,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-1.218788471
DD,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-1.148588539
DL,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,3.700038607
DN,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-0.626199782
GA,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-2.60685976
GJ,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-2.067996989
HP,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-2.4096863
HR,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-1.034453022
JH,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-0.018204005
JK,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-5.747093434
KA,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,1.332396985
KL,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,1.58708263
LA,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-2.007103577
LD,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-0.399025635
MH,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,2.905696674
ML,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-1.098614614
MN,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-5.371118377
MP,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-1.623715188
MZ,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-4.076125678
NL,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-6.981678232
OD,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-1.542447882
PB,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-0.99824998
PC,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-2.291162092
RJ,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-1.216301166
SK,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,-2.828692398
TN,elect_td_trn,elect_td_trn,elect_td_trn,2025,tax,1.571715063
