# File: L201.LaborProductivity_GCAMINDIA.csv
# Title:INDIA value written to all states
# Units: NA
# Column types: cnn
# --------
region,year,laborproductivity
AP,1990,0.02406
AR,1990,0.02406
AS,1990,0.02406
BR,1990,0.02406
CG,1990,0.02406
DL,1990,0.02406
GA,1990,0.02406
GJ,1990,0.02406
HR,1990,0.02406
HP,1990,0.02406
JK,1990,0.02406
JH,1990,0.02406
KA,1990,0.02406
KL,1990,0.02406
MP,1990,0.02406
MH,1990,0.02406
MN,1990,0.02406
ML,1990,0.02406
MZ,1990,0.02406
NL,1990,0.02406
OD,1990,0.02406
PB,1990,0.02406
RJ,1990,0.02406
SK,1990,0.02406
TN,1990,0.02406
TS,1990,0.02406
TR,1990,0.02406
UP,1990,0.02406
UK,1990,0.02406
WB,1990,0.02406
CH,1990,0.02406
DD,1990,0.02406
DN,1990,0.02406
LA,1990,0.02406
LD,1990,0.02406
AN,1990,0.02406
PC,1990,0.02406
AP,2005,0.04181
AR,2005,0.04181
AS,2005,0.04181
BR,2005,0.04181
CG,2005,0.04181
DL,2005,0.04181
GA,2005,0.04181
GJ,2005,0.04181
HR,2005,0.04181
HP,2005,0.04181
JK,2005,0.04181
JH,2005,0.04181
KA,2005,0.04181
KL,2005,0.04181
MP,2005,0.04181
MH,2005,0.04181
MN,2005,0.04181
ML,2005,0.04181
MZ,2005,0.04181
NL,2005,0.04181
OD,2005,0.04181
PB,2005,0.04181
RJ,2005,0.04181
SK,2005,0.04181
TN,2005,0.04181
TS,2005,0.04181
TR,2005,0.04181
UP,2005,0.04181
UK,2005,0.04181
WB,2005,0.04181
CH,2005,0.04181
DD,2005,0.04181
DN,2005,0.04181
LA,2005,0.04181
LD,2005,0.04181
AN,2005,0.04181
PC,2005,0.04181
AN,2010,0.133032488
AN,2015,-0.017612632
AN,2020,0.090203015
AN,2025,0.066183562
AN,2030,0.057695916
AN,2035,0.060602148
AN,2040,0.045389087
AN,2045,0.041826034
AN,2050,0.038024511
AN,2055,0.043136282
AN,2060,0.035805431
AN,2065,0.038789056
AN,2070,0.030983938
AN,2075,0.033580754
AN,2080,0.035740227
AN,2085,0.028261752
AN,2090,0.030229802
AN,2095,0.031773471
AN,2100,0.030320687
AP,2010,0.032056175
AP,2015,0.041597002
AP,2020,0.078156052
AP,2025,0.053210518
AP,2030,0.046980058
AP,2035,0.051389058
AP,2040,0.042679637
AP,2045,0.039307909
AP,2050,0.045657244
AP,2055,0.040987421
AP,2060,0.033861468
AP,2065,0.037031579
AP,2070,0.029431687
AP,2075,0.032219248
AP,2080,0.034573028
AP,2085,0.027300412
AP,2090,0.029467774
AP,2095,0.031213414
AP,2100,0.029966457
AR,2010,0.035
AR,2015,0.09
AR,2020,0.076
AR,2025,0.055
AR,2030,0.056
AR,2035,0.051
AR,2040,0.041
AR,2045,0.047
AR,2050,0.044
AR,2055,0.039
AR,2060,0.042
AR,2065,0.036
AR,2070,0.038
AR,2075,0.031
AR,2080,0.034
AR,2085,0.037
AR,2090,0.029
AR,2095,0.031
AR,2100,0.03
AS,2010,0.034521609
AS,2015,0.042250158
AS,2020,0.074776656
AS,2025,0.050853885
AS,2030,0.044735115
AS,2035,0.049265428
AS,2040,0.044121759
AS,2045,0.041463658
AS,2050,0.038571054
AS,2055,0.0445233
AS,2060,0.038122962
AS,2065,0.031950021
AS,2070,0.035094334
AS,2075,0.028488008
AS,2080,0.031510315
AS,2085,0.035086545
AS,2090,0.027793001
AS,2095,0.030235872
AS,2100,0.029697186
BR,2010,0.060849933
BR,2015,0.06742558
BR,2020,0.032705012
BR,2025,0.040523909
BR,2030,0.038613211
BR,2035,0.047389806
BR,2040,0.043704575
BR,2045,0.04253
BR,2050,0.039819695
BR,2055,0.035945594
BR,2060,0.038718768
BR,2065,0.032330948
BR,2070,0.035475316
