# File: UCD_techs_india.csv
# Title: UCD technologies mapping for India
# Units: NA
# Source: Mishra et al. 2013 (Modified for India)
# Column types: ccccccccccc
# ----------
UCD_sector,mode,size.class,UCD_technology,UCD_fuel,UCD_category,fuel,supplysector,tranSubsector,tranTechnology,minicam.energy.input
Passenger,Air Domestic,All,Liquids,Liquids,trn_air,refined liquids,trn_pass,Air Domestic,Liquids,refined liquids enduse
Passenger,Air International,All,Liquids,Liquids,trn_air,refined liquids,trn_aviation_intl,Air International,Liquids,refined liquids enduse
Passenger,Bus,All,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road,Bus,Liquids,refined liquids enduse
Passenger,Bus,All,Electric,Electricity,trn_road and rail,electricity,trn_pass_road,Bus,Electric,elect_td_trn
Passenger,Bus,All,NG,Natural Gas,trn_road and rail,gas,trn_pass_road,Bus,NG,delivered gas
Passenger,HSR,All,Electric,Electricity,trn_road and rail,electricity,trn_pass,HSR,Electric,elect_td_trn
Passenger,LDV_2W,All,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV_2W,LDV_2W,Liquids,refined liquids enduse
Passenger,LDV_2W,All,BEV,Electricity,trn_road and rail,electricity,trn_pass_road_LDV_2W,LDV_2W,Electric,elect_td_trn
Passenger,LDV_3W,All,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV,LDV_3W,Liquids,refined liquids enduse
Passenger,LDV_3W,All,Electric,Electricity,trn_road and rail,electricity,trn_pass_road_LDV,LDV_3W,Electric,elect_td_trn
Passenger,LDV_3W,All,NG,Natural Gas,trn_road and rail,gas,trn_pass_road_LDV,LDV_3W,NG,delivered gas
Passenger,LDV_4W,All,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV_4W,LDV_4W,Liquids,refined liquids enduse
Passenger,LDV_4W,All,NG,Natural Gas,trn_road and rail,gas,trn_pass_road_LDV_4W,LDV_4W,NG,delivered gas
Passenger,LDV_4W,All,BEV,Electricity,trn_road and rail,electricity,trn_pass_road_LDV_4W,LDV_4W,Electric,elect_td_trn
Passenger,LDV_4W,All,FCEV,Hydrogen,trn_road and rail,hydrogen,trn_pass_road_LDV_4W,LDV_4W,FCEV,H2 enduse
Freight,Rail,All,Liquids,Liquids,trn_road and rail,refined liquids,trn_freight,Freight Rail,Liquids,refined liquids enduse
Freight,Rail,All,Electric,Electricity,trn_road and rail,electricity,trn_freight,Freight Rail,Electric,elect_td_trn
Freight,Rail,All,Coal,Coal,trn_road and rail,coal,trn_freight,Freight Rail,Coal,delivered coal
Passenger,Rail,All,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass,Passenger Rail,Liquids,refined liquids enduse
Passenger,Rail,All,Electric,Electricity,trn_road and rail,electricity,trn_pass,Passenger Rail,Electric,elect_td_trn
Freight,Ship Domestic,All,Liquids,Liquids,trn_domestic ship,refined liquids,trn_freight,Ship Domestic,Liquids,refined liquids enduse
Freight,Ship International,All,Liquids,Liquids,trn_international ship,refined liquids,trn_shipping_intl,Ship International,Liquids,refined liquids enduse
Freight,Truck,All,Liquids,Liquids,trn_road and rail,refined liquids,trn_freight_road,Truck,Liquids,refined liquids enduse
Freight,Truck,All,NG,Natural Gas,trn_road and rail,gas,trn_freight_road,Truck,NG,delivered gas
Freight,Truck,All,Electric,Electricity,trn_road and rail,electricity,trn_freight_road,Truck,Electric,elect_td_trn
Freight,Truck,All,FCEV,Hydrogen,trn_road and rail,hydrogen,trn_freight_road,Truck,FCEV,H2 enduse
