INPUT_TABLE,,,,,,
Variable ID,,,,,,
SubregionalShares,,,,,,
,,,,,,
region,gcam.consumer,pop.year.fillout,inc.year.fillout,subregional.population.share,subregional.income.share,scenario
India,commercial,1975,1975,1,1,NITI
India,commercial,1990,1990,1,1,NITI
India,commercial,2005,2005,1,1,NITI
India,commercial,2010,2010,1,1,NITI
India,commercial,2015,2015,1,1,NITI
India,commercial,2020,2020,1,1,NITI
India,commercial,2025,2025,1,1,NITI
India,commercial,2030,2030,1,1,NITI
India,commercial,2035,2035,1,1,NITI
India,commercial,2040,2040,1,1,NITI
India,commercial,2045,2045,1,1,NITI
India,commercial,2050,2050,1,1,NITI
India,commercial,2055,2055,1,1,NITI
India,commercial,2060,2060,1,1,NITI
India,commercial,2065,2065,1,1,NITI
India,commercial,2070,2070,1,1,NITI
India,commercial,2075,2075,1,1,NITI
India,commercial,2080,2080,1,1,NITI
India,commercial,2085,2085,1,1,NITI
India,commercial,2090,2090,1,1,NITI
India,commercial,2095,2095,1,1,NITI
India,commercial,2100,2100,1,1,NITI
India,residential rural,1975,1975,0.7446,0.485922164,NITI
India,residential rural,1990,1990,0.7446,0.485922164,NITI
India,residential rural,2005,2005,0.70765,0.439709199,NITI
India,residential rural,2010,2010,0.6907,0.419957743,NITI
India,residential rural,2015,2015,0.673,0.400218301,NITI
India,residential rural,2020,2020,0.6553,0.385572926,NITI
India,residential rural,2025,2025,0.628216673,0.362272604,NITI
India,residential rural,2030,2030,0.601133347,0.340455128,NITI
India,residential rural,2035,2035,0.57405002,0.31993372,NITI
India,residential rural,2040,2040,0.546966694,0.30054666,NITI
India,residential rural,2045,2045,0.519883367,0.282152737,NITI
India,residential rural,2050,2050,0.492800041,0.264627577,NITI
India,residential rural,2055,2055,0.469159987,0.251524006,NITI
India,residential rural,2060,2060,0.445519933,0.238886104,NITI
India,residential rural,2065,2065,0.421879879,0.226646669,NITI
India,residential rural,2070,2070,0.398239825,0.214742488,NITI
India,residential rural,2075,2075,0.374599771,0.203113235,NITI
India,residential rural,2080,2080,0.350959717,0.191700441,NITI
India,residential rural,2085,2085,0.327319663,0.180446478,NITI
India,residential rural,2090,2090,0.303679609,0.169293522,NITI
India,residential rural,2095,2095,0.280039555,0.158182473,NITI
India,residential rural,2100,2100,0.2563995,0.147051748,NITI
India,residential urban,1975,1975,0.2554,0.514077836,NITI
India,residential urban,1990,1990,0.2554,0.514077836,NITI
India,residential urban,2005,2005,0.29235,0.560290801,NITI
India,residential urban,2010,2010,0.3093,0.580042257,NITI
India,residential urban,2015,2015,0.327,0.599781699,NITI
India,residential urban,2020,2020,0.3447,0.614427074,NITI
India,residential urban,2025,2025,0.371783327,0.637727396,NITI
India,residential urban,2030,2030,0.398866653,0.659544872,NITI
India,residential urban,2035,2035,0.42594998,0.68006628,NITI
India,residential urban,2040,2040,0.453033306,0.69945334,NITI
India,residential urban,2045,2045,0.480116633,0.717847263,NITI
India,residential urban,2050,2050,0.507199959,0.735372423,NITI
India,residential urban,2055,2055,0.530840013,0.748475994,NITI
India,residential urban,2060,2060,0.554480067,0.761113896,NITI
India,residential urban,2065,2065,0.578120121,0.773353331,NITI
India,residential urban,2070,2070,0.601760175,0.785257512,NITI
India,residential urban,2075,2075,0.625400229,0.796886765,NITI
India,residential urban,2080,2080,0.649040283,0.808299559,NITI
India,residential urban,2085,2085,0.672680337,0.819553522,NITI
India,residential urban,2090,2090,0.696320391,0.830706478,NITI
India,residential urban,2095,2095,0.719960445,0.841817527,NITI
India,residential urban,2100,2100,0.7436005,0.852948252,NITI
