INPUT_TABLE,,,,,
Variable ID,,,,,
RegionIntTechCF,,,,,
,,,,,
region,supplysector,subsector,intermittent.technology,year,capacity.factor
India,electricity,solar,CSP,1975,0.25
India,electricity,solar,CSP,1990,0.25
India,electricity,solar,CSP,2005,0.25
India,electricity,solar,CSP,2010,0.22
India,electricity,solar,CSP,2015,0.22
India,electricity,solar,CSP,2020,0.29
India,electricity,solar,CSP,2025,0.32
India,electricity,solar,CSP,2030,0.36
India,electricity,solar,CSP,2035,0.4
India,electricity,solar,CSP,2040,0.42
India,electricity,solar,CSP,2045,0.44
India,electricity,solar,CSP,2050,0.45
India,electricity,solar,CSP,2055,0.46
India,electricity,solar,CSP,2060,0.47
India,electricity,solar,CSP,2065,0.48
India,electricity,solar,CSP,2070,0.48
India,electricity,solar,CSP,2075,0.48
India,electricity,solar,CSP,2080,0.48
India,electricity,solar,CSP,2085,0.48
India,electricity,solar,CSP,2090,0.48
India,electricity,solar,CSP,2095,0.48
India,electricity,solar,CSP,2100,0.48
India,electricity,solar,PV,1975,0.2
India,electricity,solar,PV,1990,0.2
India,electricity,solar,PV,2005,0.2
India,electricity,solar,PV,2010,0.18
India,electricity,solar,PV,2015,0.18
India,electricity,solar,PV,2020,0.18
India,electricity,solar,PV,2025,0.18
India,electricity,solar,PV,2030,0.19
India,electricity,solar,PV,2035,0.19
India,electricity,solar,PV,2040,0.2
India,electricity,solar,PV,2045,0.21
India,electricity,solar,PV,2050,0.22
India,electricity,solar,PV,2055,0.22
India,electricity,solar,PV,2060,0.23
India,electricity,solar,PV,2065,0.23
India,electricity,solar,PV,2070,0.24
India,electricity,solar,PV,2075,0.24
India,electricity,solar,PV,2080,0.24
India,electricity,solar,PV,2085,0.25
India,electricity,solar,PV,2090,0.25
India,electricity,solar,PV,2095,0.25
India,electricity,solar,PV,2100,0.25
India,elect_td_bld,rooftop_pv,rooftop_pv,1975,0.2
India,elect_td_bld,rooftop_pv,rooftop_pv,1990,0.2
India,elect_td_bld,rooftop_pv,rooftop_pv,2005,0.2
India,elect_td_bld,rooftop_pv,rooftop_pv,2010,0.16
India,elect_td_bld,rooftop_pv,rooftop_pv,2015,0.16
India,elect_td_bld,rooftop_pv,rooftop_pv,2020,0.18
India,elect_td_bld,rooftop_pv,rooftop_pv,2025,0.18
India,elect_td_bld,rooftop_pv,rooftop_pv,2030,0.19
India,elect_td_bld,rooftop_pv,rooftop_pv,2035,0.19
India,elect_td_bld,rooftop_pv,rooftop_pv,2040,0.2
India,elect_td_bld,rooftop_pv,rooftop_pv,2045,0.21
India,elect_td_bld,rooftop_pv,rooftop_pv,2050,0.22
India,elect_td_bld,rooftop_pv,rooftop_pv,2055,0.22
India,elect_td_bld,rooftop_pv,rooftop_pv,2060,0.23
India,elect_td_bld,rooftop_pv,rooftop_pv,2065,0.23
India,elect_td_bld,rooftop_pv,rooftop_pv,2070,0.24
India,elect_td_bld,rooftop_pv,rooftop_pv,2075,0.24
India,elect_td_bld,rooftop_pv,rooftop_pv,2080,0.24
India,elect_td_bld,rooftop_pv,rooftop_pv,2085,0.25
India,elect_td_bld,rooftop_pv,rooftop_pv,2090,0.25
India,elect_td_bld,rooftop_pv,rooftop_pv,2095,0.25
India,elect_td_bld,rooftop_pv,rooftop_pv,2100,0.25
India,electricity,wind,wind,1975,0.37
India,electricity,wind,wind,1990,0.37
India,electricity,wind,wind,2005,0.37
India,electricity,wind,wind,2010,0.24
India,electricity,wind,wind,2015,0.18
India,electricity,wind,wind,2020,0.18
India,electricity,wind,wind,2025,0.18
India,electricity,wind,wind,2030,0.18
India,electricity,wind,wind,2035,0.18
India,electricity,wind,wind,2040,0.18
India,electricity,wind,wind,2045,0.18
India,electricity,wind,wind,2050,0.18
India,electricity,wind,wind,2055,0.18
India,electricity,wind,wind,2060,0.18
India,electricity,wind,wind,2065,0.18
India,electricity,wind,wind,2070,0.18
India,electricity,wind,wind,2075,0.18
India,electricity,wind,wind,2080,0.18
India,electricity,wind,wind,2085,0.18
India,electricity,wind,wind,2090,0.18
India,electricity,wind,wind,2095,0.18
India,electricity,wind,wind,2100,0.18
