INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
RegionTechEff,,,,,,,,,
,,,,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.energy.input,efficiency,,,
India,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196,,,
India,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23,,,
India,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257,,,
India,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28,,,
India,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3,,,
India,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316,,,
India,electricity,biomass,biomass (conv CCS),2045,regional biomass,0.33,,,
India,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342,,,
India,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353,,,
India,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362,,,
India,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37,,,
India,electricity,biomass,biomass (conv CCS),2070,regional biomass,0.377,,,
India,electricity,biomass,biomass (conv CCS),2075,regional biomass,0.383,,,
India,electricity,biomass,biomass (conv CCS),2080,regional biomass,0.389,,,
India,electricity,biomass,biomass (conv CCS),2085,regional biomass,0.394,,,
India,electricity,biomass,biomass (conv CCS),2090,regional biomass,0.399,,,
India,electricity,biomass,biomass (conv CCS),2095,regional biomass,0.403,,,
India,electricity,biomass,biomass (conv CCS),2100,regional biomass,0.407,,,
India,electricity,biomass,biomass (conv),2015,regional biomass,0.266,,,
India,electricity,biomass,biomass (conv),2020,regional biomass,0.278,,,
India,electricity,biomass,biomass (conv),2025,regional biomass,0.289,,,
India,electricity,biomass,biomass (conv),2030,regional biomass,0.298,,,
India,electricity,biomass,biomass (conv),2035,regional biomass,0.308,,,
India,electricity,biomass,biomass (conv),2040,regional biomass,0.316,,,
India,electricity,biomass,biomass (conv),2045,regional biomass,0.324,,,
India,electricity,biomass,biomass (conv),2050,regional biomass,0.331,,,
India,electricity,biomass,biomass (conv),2055,regional biomass,0.338,,,
India,electricity,biomass,biomass (conv),2060,regional biomass,0.345,,,
India,electricity,biomass,biomass (conv),2065,regional biomass,0.35,,,
India,electricity,biomass,biomass (conv),2070,regional biomass,0.356,,,
India,electricity,biomass,biomass (conv),2075,regional biomass,0.361,,,
India,electricity,biomass,biomass (conv),2080,regional biomass,0.366,,,
India,electricity,biomass,biomass (conv),2085,regional biomass,0.37,,,
