INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionIntTechOMfixed,,,,,,
,,,,,,
region,supplysector,subsector,intermittent.technology,year,input.OM.fixed,OM.fixed
India,electricity,solar,CSP,1975,OM-fixed,0
India,electricity,solar,CSP,1990,OM-fixed,0
India,electricity,solar,CSP,2005,OM-fixed,0
India,electricity,solar,CSP,2010,OM-fixed,0
India,electricity,solar,CSP,2015,OM-fixed,0
India,electricity,solar,CSP,2020,OM-fixed,0
India,electricity,solar,CSP,2025,OM-fixed,0
India,electricity,solar,CSP,2030,OM-fixed,0
India,electricity,solar,CSP,2035,OM-fixed,0
India,electricity,solar,CSP,2040,OM-fixed,0
India,electricity,solar,CSP,2045,OM-fixed,0
India,electricity,solar,CSP,2050,OM-fixed,0
India,electricity,solar,CSP,2055,OM-fixed,0
India,electricity,solar,CSP,2060,OM-fixed,0
India,electricity,solar,CSP,2065,OM-fixed,0
India,electricity,solar,CSP,2070,OM-fixed,0
India,electricity,solar,CSP,2075,OM-fixed,0
India,electricity,solar,CSP,2080,OM-fixed,0
India,electricity,solar,CSP,2085,OM-fixed,0
India,electricity,solar,CSP,2090,OM-fixed,0
India,electricity,solar,CSP,2095,OM-fixed,0
India,electricity,solar,CSP,2100,OM-fixed,0
India,electricity,solar,PV,1975,OM-fixed,0
India,electricity,solar,PV,1990,OM-fixed,0
India,electricity,solar,PV,2005,OM-fixed,0
India,electricity,solar,PV,2010,OM-fixed,0
India,electricity,solar,PV,2015,OM-fixed,0
India,electricity,solar,PV,2020,OM-fixed,0
India,electricity,solar,PV,2025,OM-fixed,0
India,electricity,solar,PV,2030,OM-fixed,0
India,electricity,solar,PV,2035,OM-fixed,0
India,electricity,solar,PV,2040,OM-fixed,0
India,electricity,solar,PV,2045,OM-fixed,0
India,electricity,solar,PV,2050,OM-fixed,0
India,electricity,solar,PV,2055,OM-fixed,0
India,electricity,solar,PV,2060,OM-fixed,0
India,electricity,solar,PV,2065,OM-fixed,0
India,electricity,solar,PV,2070,OM-fixed,0
India,electricity,solar,PV,2075,OM-fixed,0
India,electricity,solar,PV,2080,OM-fixed,0
India,electricity,solar,PV,2085,OM-fixed,0
India,electricity,solar,PV,2090,OM-fixed,0
India,electricity,solar,PV,2095,OM-fixed,0
India,electricity,solar,PV,2100,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,1975,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,1990,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2005,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2010,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2015,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2020,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2025,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2030,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2035,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2040,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2045,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2050,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2055,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2060,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2065,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2070,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2075,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2080,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2085,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2090,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2095,OM-fixed,0
India,elect_td_bld,rooftop_pv,rooftop_pv,2100,OM-fixed,0
India,electricity,wind,wind,1975,OM-fixed,0
India,electricity,wind,wind,1990,OM-fixed,0
India,electricity,wind,wind,2005,OM-fixed,0
India,electricity,wind,wind,2010,OM-fixed,0
India,electricity,wind,wind,2015,OM-fixed,0
India,electricity,wind,wind,2020,OM-fixed,0
India,electricity,wind,wind,2025,OM-fixed,0
India,electricity,wind,wind,2030,OM-fixed,0
India,electricity,wind,wind,2035,OM-fixed,0
India,electricity,wind,wind,2040,OM-fixed,0
India,electricity,wind,wind,2045,OM-fixed,0
India,electricity,wind,wind,2050,OM-fixed,0
India,electricity,wind,wind,2055,OM-fixed,0
India,electricity,wind,wind,2060,OM-fixed,0
India,electricity,wind,wind,2065,OM-fixed,0
India,electricity,wind,wind,2070,OM-fixed,0
India,electricity,wind,wind,2075,OM-fixed,0
India,electricity,wind,wind,2080,OM-fixed,0
India,electricity,wind,wind,2085,OM-fixed,0
India,electricity,wind,wind,2090,OM-fixed,0
India,electricity,wind,wind,2095,OM-fixed,0
India,electricity,wind,wind,2100,OM-fixed,0
