INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionIntTechOMvar,,,,,,
,,,,,,
region,supplysector,subsector,intermittent.technology,year,input.OM.var,OM.var
India,electricity,wind,wind,1975,OM-var,0
India,electricity,wind,wind,1990,OM-var,0
India,electricity,wind,wind,2005,OM-var,0
India,electricity,wind,wind,2010,OM-var,0
India,electricity,wind,wind,2015,OM-var,0
India,electricity,wind,wind,2020,OM-var,0
India,electricity,wind,wind,2025,OM-var,3.023893939
India,electricity,wind,wind,2030,OM-var,3.239886364
India,electricity,wind,wind,2035,OM-var,3.455878788
India,electricity,wind,wind,2040,OM-var,3.887863636
India,electricity,wind,wind,2045,OM-var,4.319848485
India,electricity,wind,wind,2050,OM-var,4.751833333
India,electricity,wind,wind,2055,OM-var,4.751833333
India,electricity,wind,wind,2060,OM-var,4.751833333
India,electricity,wind,wind,2065,OM-var,4.751833333
India,electricity,wind,wind,2070,OM-var,4.751833333
India,electricity,wind,wind,2075,OM-var,4.751833333
India,electricity,wind,wind,2080,OM-var,4.751833333
India,electricity,wind,wind,2085,OM-var,4.751833333
India,electricity,wind,wind,2090,OM-var,4.751833333
India,electricity,wind,wind,2095,OM-var,4.751833333
India,electricity,wind,wind,2100,OM-var,4.751833333
India,electricity,solar,CSP,1975,OM-var,0
India,electricity,solar,CSP,1990,OM-var,0
India,electricity,solar,CSP,2005,OM-var,0
India,electricity,solar,CSP,2010,OM-var,0
India,electricity,solar,CSP,2015,OM-var,0
India,electricity,solar,CSP,2020,OM-var,0
India,electricity,solar,CSP,2025,OM-var,3.023893939
India,electricity,solar,CSP,2030,OM-var,3.239886364
India,electricity,solar,CSP,2035,OM-var,3.455878788
India,electricity,solar,CSP,2040,OM-var,3.887863636
India,electricity,solar,CSP,2045,OM-var,4.319848485
India,electricity,solar,CSP,2050,OM-var,4.751833333
India,electricity,solar,CSP,2055,OM-var,4.751833333
India,electricity,solar,CSP,2060,OM-var,4.751833333
India,electricity,solar,CSP,2065,OM-var,4.751833333
India,electricity,solar,CSP,2070,OM-var,4.751833333
India,electricity,solar,CSP,2075,OM-var,4.751833333
India,electricity,solar,CSP,2080,OM-var,4.751833333
India,electricity,solar,CSP,2085,OM-var,4.751833333
India,electricity,solar,CSP,2090,OM-var,4.751833333
India,electricity,solar,CSP,2095,OM-var,4.751833333
India,electricity,solar,CSP,2100,OM-var,4.751833333
India,electricity,solar,PV,1975,OM-var,0
India,electricity,solar,PV,1990,OM-var,0
India,electricity,solar,PV,2005,OM-var,0
India,electricity,solar,PV,2010,OM-var,0
India,electricity,solar,PV,2015,OM-var,0
India,electricity,solar,PV,2020,OM-var,0
India,electricity,solar,PV,2025,OM-var,3.023893939
India,electricity,solar,PV,2030,OM-var,3.239886364
India,electricity,solar,PV,2035,OM-var,3.455878788
India,electricity,solar,PV,2040,OM-var,3.887863636
India,electricity,solar,PV,2045,OM-var,4.319848485
India,electricity,solar,PV,2050,OM-var,4.751833333
India,electricity,solar,PV,2055,OM-var,4.751833333
India,electricity,solar,PV,2060,OM-var,4.751833333
India,electricity,solar,PV,2065,OM-var,4.751833333
India,electricity,solar,PV,2070,OM-var,4.751833333
India,electricity,solar,PV,2075,OM-var,4.751833333
India,electricity,solar,PV,2080,OM-var,4.751833333
India,electricity,solar,PV,2085,OM-var,4.751833333
India,electricity,solar,PV,2090,OM-var,4.751833333
India,electricity,solar,PV,2095,OM-var,4.751833333
India,electricity,solar,PV,2100,OM-var,4.751833333
