INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
India,elect_td_bld,rooftop_pv,rooftop_pv,1990,tax,6.8277
India,elect_td_bld,rooftop_pv,rooftop_pv,2005,tax,6.8397
India,elect_td_bld,rooftop_pv,rooftop_pv,2010,tax,4.6939
India,elect_td_bld,rooftop_pv,rooftop_pv,2015,tax,16.4261
India,elect_td_bld,rooftop_pv,rooftop_pv,2020,tax,4.7963
India,elect_td_bld,rooftop_pv,rooftop_pv,2025,tax,4.6797
India,elect_td_bld,rooftop_pv,rooftop_pv,2030,tax,2.8791
India,elect_td_bld,rooftop_pv,rooftop_pv,2035,tax,3.1301
India,elect_td_bld,rooftop_pv,rooftop_pv,2040,tax,1.9076
India,elect_td_bld,rooftop_pv,rooftop_pv,2045,tax,0.6032
India,elect_td_bld,rooftop_pv,rooftop_pv,2050,tax,-0.7176
India,elect_td_bld,rooftop_pv,rooftop_pv,2055,tax,0.0061
India,elect_td_bld,rooftop_pv,rooftop_pv,2060,tax,-1.5028
India,elect_td_bld,rooftop_pv,rooftop_pv,2065,tax,-1.4878
India,elect_td_bld,rooftop_pv,rooftop_pv,2070,tax,-2.859
India,elect_td_bld,rooftop_pv,rooftop_pv,2075,tax,-2.8511
India,elect_td_bld,rooftop_pv,rooftop_pv,2080,tax,-2.8728
India,elect_td_bld,rooftop_pv,rooftop_pv,2085,tax,-4.1745
India,elect_td_bld,rooftop_pv,rooftop_pv,2090,tax,-4.1974
India,elect_td_bld,rooftop_pv,rooftop_pv,2095,tax,-4.2329
India,elect_td_bld,rooftop_pv,rooftop_pv,2100,tax,-4.2693
India,electricity,biomass,biomass (conv CCS),1990,tax,0.1224
India,electricity,biomass,biomass (conv CCS),2005,tax,0.0852
India,electricity,biomass,biomass (conv CCS),2010,tax,0.0953
India,electricity,biomass,biomass (conv CCS),2015,tax,0.3
India,electricity,biomass,biomass (conv CCS),2020,tax,-0.2
India,electricity,biomass,biomass (conv CCS),2025,tax,-0.5
India,electricity,biomass,biomass (conv CCS),2030,tax,-0.6
India,electricity,biomass,biomass (conv CCS),2035,tax,-0.6
India,electricity,biomass,biomass (conv CCS),2040,tax,-0.6
India,electricity,biomass,biomass (conv CCS),2045,tax,-0.5
India,electricity,biomass,biomass (conv CCS),2050,tax,-0.6
India,electricity,biomass,biomass (conv CCS),2055,tax,-0.7
India,electricity,biomass,biomass (conv CCS),2060,tax,-0.7
India,electricity,biomass,biomass (conv CCS),2065,tax,-0.6
India,electricity,biomass,biomass (conv CCS),2070,tax,-0.7
India,electricity,biomass,biomass (conv CCS),2075,tax,-0.6
India,electricity,biomass,biomass (conv CCS),2080,tax,-0.7
India,electricity,biomass,biomass (conv CCS),2085,tax,-0.7
India,electricity,biomass,biomass (conv CCS),2090,tax,-0.7
India,electricity,biomass,biomass (conv CCS),2095,tax,-0.7
India,electricity,biomass,biomass (conv CCS),2100,tax,-0.7
India,electricity,biomass,biomass (conv),1990,tax,0.0727
India,electricity,biomass,biomass (conv),2005,tax,0.1113
India,electricity,biomass,biomass (conv),2010,tax,0.1246
India,electricity,biomass,biomass (conv),2015,tax,0.1818
India,electricity,biomass,biomass (conv),2020,tax,-0.18912
India,electricity,biomass,biomass (conv),2025,tax,-0.40381
India,electricity,biomass,biomass (conv),2030,tax,-0.50165
India,electricity,biomass,biomass (conv),2035,tax,-0.56568
India,electricity,biomass,biomass (conv),2040,tax,-0.57785
India,electricity,biomass,biomass (conv),2045,tax,-0.57877
India,electricity,biomass,biomass (conv),2050,tax,-0.61441
India,electricity,biomass,biomass (conv),2055,tax,-0.64422
India,electricity,biomass,biomass (conv),2060,tax,-0.68402
India,electricity,biomass,biomass (conv),2065,tax,-0.72544
India,electricity,biomass,biomass (conv),2070,tax,-0.73031
India,electricity,biomass,biomass (conv),2075,tax,-0.71382
India,electricity,biomass,biomass (conv),2080,tax,-0.73319
India,electricity,biomass,biomass (conv),2085,tax,-0.74555
India,electricity,biomass,biomass (conv),2090,tax,-0.74358
India,electricity,biomass,biomass (conv),2095,tax,-0.73863
India,electricity,biomass,biomass (conv),2100,tax,-0.71083
India,electricity,biomass,biomass (IGCC CCS),1990,tax,0.0672
India,electricity,biomass,biomass (IGCC CCS),2005,tax,0.0468
India,electricity,biomass,biomass (IGCC CCS),2010,tax,0.0713
India,electricity,biomass,biomass (IGCC CCS),2015,tax,0.2
India,electricity,biomass,biomass (IGCC CCS),2020,tax,-0.2
India,electricity,biomass,biomass (IGCC CCS),2025,tax,-0.4
India,electricity,biomass,biomass (IGCC CCS),2030,tax,-0.5
India,electricity,biomass,biomass (IGCC CCS),2035,tax,-0.5
