INPUT_TABLE,,
Variable ID,,
CarbonCoef,,
,,
region,PrimaryFuelCO2Coef.name,PrimaryFuelCO2Coef
USA,biomass,0.00
USA,regional biomass,23.00
USA,delivered biomass,23.00
USA,regional biomassOil,19.10
USA,regional sugar for ethanol,19.10
USA,regional corn for ethanol,19.10
USA,coal,26.31
USA,regional coal,26.31
USA,delivered coal,26.31
USA,natural gas,15.30
USA,regional natural gas,15.30
USA,gas processing,15.30
USA,gas pipeline,15.30
USA,wholesale gas,15.30
USA,delivered gas,15.30
USA,crude oil,19.10
USA,unconventional oil,21.10
USA,unconventional oil production,19.10
USA,traded unconventional oil,19.10
USA,regional oil,19.10
USA,refining,19.10
USA,refined liquids industrial,19.10
USA,refined liquids enduse,19.10
USA,limestone,0.08
Africa_Eastern,biomass,0.00
Africa_Eastern,regional biomass,23.00
Africa_Eastern,delivered biomass,23.00
Africa_Eastern,regional biomassOil,19.10
Africa_Eastern,regional sugar for ethanol,19.10
Africa_Eastern,regional corn for ethanol,19.10
Africa_Eastern,coal,26.31
Africa_Eastern,regional coal,26.31
Africa_Eastern,delivered coal,26.31
Africa_Eastern,natural gas,15.30
Africa_Eastern,regional natural gas,15.30
Africa_Eastern,gas processing,15.30
Africa_Eastern,gas pipeline,15.30
Africa_Eastern,wholesale gas,15.30
Africa_Eastern,delivered gas,15.30
Africa_Eastern,crude oil,19.10
Africa_Eastern,unconventional oil,21.10
Africa_Eastern,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Africa_Eastern,regional oil,19.10
Africa_Eastern,refining,19.10
Africa_Eastern,refined liquids industrial,19.10
Africa_Eastern,refined liquids enduse,19.10
Africa_Eastern,limestone,0.08
Africa_Northern,biomass,0.00
Africa_Northern,regional biomass,23.00
Africa_Northern,delivered biomass,23.00
Africa_Northern,regional biomassOil,19.10
Africa_Northern,regional sugar for ethanol,19.10
Africa_Northern,regional corn for ethanol,19.10
Africa_Northern,coal,26.31
Africa_Northern,regional coal,26.31
Africa_Northern,delivered coal,26.31
Africa_Northern,natural gas,15.30
Africa_Northern,regional natural gas,15.30
Africa_Northern,gas processing,15.30
Africa_Northern,gas pipeline,15.30
Africa_Northern,wholesale gas,15.30
Africa_Northern,delivered gas,15.30
Africa_Northern,crude oil,19.10
Africa_Northern,unconventional oil,21.10
Africa_Northern,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Africa_Northern,regional oil,19.10
Africa_Northern,refining,19.10
Africa_Northern,refined liquids industrial,19.10
Africa_Northern,refined liquids enduse,19.10
Africa_Northern,limestone,0.08
Africa_Southern,biomass,0.00
Africa_Southern,regional biomass,23.00
Africa_Southern,delivered biomass,23.00
Africa_Southern,regional biomassOil,19.10
Africa_Southern,regional sugar for ethanol,19.10
Africa_Southern,regional corn for ethanol,19.10
Africa_Southern,coal,26.31
Africa_Southern,regional coal,26.31
Africa_Southern,delivered coal,26.31
Africa_Southern,natural gas,15.30
Africa_Southern,regional natural gas,15.30
Africa_Southern,gas processing,15.30
Africa_Southern,gas pipeline,15.30
Africa_Southern,wholesale gas,15.30
Africa_Southern,delivered gas,15.30
Africa_Southern,crude oil,19.10
Africa_Southern,unconventional oil,21.10
Africa_Southern,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Africa_Southern,regional oil,19.10
Africa_Southern,refining,19.10
Africa_Southern,refined liquids industrial,19.10
Africa_Southern,refined liquids enduse,19.10
Africa_Southern,limestone,0.08
Africa_Western,biomass,0.00
Africa_Western,regional biomass,23.00
Africa_Western,delivered biomass,23.00
Africa_Western,regional biomassOil,19.10
Africa_Western,regional sugar for ethanol,19.10
Africa_Western,regional corn for ethanol,19.10
Africa_Western,coal,26.31
Africa_Western,regional coal,26.31
Africa_Western,delivered coal,26.31
Africa_Western,natural gas,15.30
Africa_Western,regional natural gas,15.30
Africa_Western,gas processing,15.30
Africa_Western,gas pipeline,15.30
Africa_Western,wholesale gas,15.30
Africa_Western,delivered gas,15.30
Africa_Western,crude oil,19.10
Africa_Western,unconventional oil,21.10
Africa_Western,unconventional oil production,19.10
USA,traded unconventional oil,19.10
Africa_Western,regional oil,19.10
Africa_Western,refining,19.10
Africa_Western,refined liquids industrial,19.10
Africa_Western,refined liquids enduse,19.10
