"# A mapping of GCAM ""Final energy by detailed end-use sector and fuel"" query sectors to aggregate end use sector",
sector,agg_sector
cement,Industry
comm cooking,Building
comm cooling,Building
comm heating,Building
comm hot water,Building
comm lighting,Building
comm non-building,Building
comm office,Building
comm other,Building
comm refrigeration,Building
comm ventilation,Building
industrial energy use,Industry
industrial feedstocks,Industry
N fertilizer,Industry
process heat cement,Industry
resid appliances,Building
resid clothes dryers,Building
resid clothes washers,Building
resid computers,Building
resid cooking,Building
resid cooling,Building
resid dishwashers,Building
resid freezers,Building
resid furnace fans,Building
resid heating,Building
resid hot water,Building
resid lighting,Building
resid other,Building
resid other appliances,Building
resid refrigerators,Building
resid televisions,Building
trn_aviation_intl,Transportation
trn_freight,Transportation
trn_freight_road,Transportation
trn_pass,Transportation
trn_pass_road,Transportation
trn_pass_road_LDV_2W,Transportation
trn_pass_road_LDV_4W,Transportation
trn_shipping_intl,Transportation
trn_pass_road_LDV,Transportation
