# Load factors for converting GCAM transporation services to VMT,,,
sector,subsector,unit,load_factor
trn_freight_road,Truck (0-2.7t),tonnes/veh,0.27
trn_freight_road,Truck (2.7-4.5t),tonnes/veh,1.01
trn_freight_road,Truck (4.5-12t),tonnes/veh,3.6
trn_freight_road,Truck (>12t),tonnes/veh,4.16
trn_pass_road,Bus,pers/veh,18.39
trn_pass_road_LDV_2W,Motorcycle (>250cc),pers/veh,1.1
trn_pass_road_LDV_4W,Compact Car,pers/veh,1.58
trn_pass_road_LDV_4W,Large Car,pers/veh,1.58
trn_pass_road_LDV_4W,Light Truck and SUV,pers/veh,1.73
trn_pass_road_LDV_4W,Midsize Car,pers/veh,1.58
